session_key,driver_id,driver_number,position,points,number_of_laps,dnf,dns,dsq,duration_s,gap_to_leader_s,laps_down,q1_s,q2_s,q3_s,gap_raw
9852,18,63,7,0.00,18,f,f,f,94.037,0.435,,,,,0.435
9852,12,23,8,0.00,17,f,f,f,94.067,0.465,,,,,0.465
9852,1,1,9,0.00,16,f,f,f,94.105,0.503,,,,,0.503
9852,16,44,10,0.00,17,f,f,f,94.127,0.525,,,,,0.525
9852,10,18,11,0.00,15,f,f,f,94.191,0.589,,,,,0.589
9852,6,10,12,0.00,18,f,f,f,94.373,0.771,,,,,0.771
9852,17,55,13,0.00,16,f,f,f,94.435,0.833,,,,,0.833
9852,19,81,14,0.00,12,f,f,f,94.493,0.891,,,,,0.891
9852,11,22,15,0.00,16,f,f,f,94.692,1.090,,,,,1.09
9852,29,43,16,0.00,18,f,f,f,94.824,1.222,,,,,1.222
9852,20,87,17,0.00,17,f,f,f,94.986,1.384,,,,,1.384
9852,8,14,18,0.00,14,f,f,f,95.012,1.410,,,,,1.41
9852,15,31,19,0.00,18,f,f,f,95.228,1.626,,,,,1.626
9852,3,5,20,0.00,15,f,f,f,95.499,1.897,,,,,1.897
9853,18,63,1,0.00,21,f,f,f,94.054,0.000,,,,,0
9853,1,1,2,0.00,28,f,f,f,94.281,0.227,,,,,0.227
9853,12,23,3,0.00,21,f,f,f,94.875,0.821,,,,,0.821
9853,4,6,4,0.00,26,f,f,f,95.169,1.115,,,,,1.115
9853,16,44,5,0.00,29,f,f,f,95.269,1.215,,,,,1.215
9853,7,12,6,0.00,23,f,f,f,95.385,1.331,,,,,1.331
9853,14,30,7,0.00,25,f,f,f,95.439,1.385,,,,,1.385
9853,10,18,8,0.00,11,f,f,f,95.533,1.479,,,,,1.479
9853,8,14,9,0.00,12,f,f,f,95.540,1.486,,,,,1.486
9853,6,10,10,0.00,13,f,f,f,95.562,1.508,,,,,1.508
9853,20,87,11,0.00,18,f,f,f,95.586,1.532,,,,,1.532
9853,17,55,12,0.00,22,f,f,f,95.662,1.608,,,,,1.608
9853,3,5,13,0.00,16,f,f,f,95.738,1.684,,,,,1.684
9853,15,31,14,0.00,24,f,f,f,95.817,1.763,,,,,1.763
9853,9,16,15,0.00,27,f,f,f,95.908,1.854,,,,,1.854
9853,29,43,16,0.00,17,f,f,f,96.305,2.251,,,,,2.251
9853,13,27,17,0.00,11,f,f,f,96.650,2.596,,,,,2.596
9853,11,22,18,0.00,24,f,f,f,96.667,2.613,,,,,2.613
9853,19,81,19,0.00,20,f,f,f,97.023,2.969,,,,,2.969
9853,2,4,20,0.00,18,f,f,f,97.112,3.058,,,,,3.058
9854,2,4,1,0.00,25,f,f,f,,,,115.473,111.379,107.934,"[2.329, 0.444, 0.0]"
9854,1,1,2,0.00,24,f,f,f,,,,113.458,111.593,108.257,"[0.314, 0.658, 0.323]"
9854,17,55,3,0.00,24,f,f,f,,,,114.873,111.144,108.296,"[1.729, 0.209, 0.362]"
9854,18,63,4,0.00,25,f,f,f,,,,113.144,110.935,108.803,"[0.0, 0.0, 0.869]"
9854,19,81,5,0.00,23,f,f,f,,,,114.544,112.126,108.961,"[1.4, 1.191, 1.027]"
9854,14,30,6,0.00,25,f,f,f,,,,114.828,111.621,109.062,"[1.684, 0.686, 1.128]"
9854,8,14,7,0.00,25,f,f,f,,,,113.739,111.865,109.466,"[0.595, 0.93, 1.532]"
9854,4,6,8,0.00,25,f,f,f,,,,115.613,111.120,109.554,"[2.469, 0.185, 1.62]"
9854,9,16,9,0.00,24,f,f,f,,,,114.814,111.952,109.872,"[1.67, 1.017, 1.938]"
9854,6,10,10,0.00,25,f,f,f,,,,114.432,111.760,111.540,"[1.288, 0.825, 3.606]"
9854,13,27,11,0.00,18,f,f,f,,,,114.555,112.781,,"[1.411, 1.846, null]"
9854,10,18,12,0.00,18,f,f,f,,,,114.416,112.850,,"[1.272, 1.915, null]"
9854,15,31,13,0.00,17,f,f,f,,,,114.635,112.987,,"[1.491, 2.052, null]"
