session_key,driver_number,driver_id,team_id
9879,1,1,1
9879,4,2,2
9879,5,3,3
9879,6,4,4
9879,10,6,5
9879,12,7,6
9879,14,8,7
9879,16,9,8
9879,18,10,7
9879,22,11,1
9879,23,12,9
9879,27,13,3
9879,30,14,4
9879,31,15,10
9879,43,29,5
9879,44,16,8
9879,55,17,9
9879,63,18,6
9879,81,19,2
9879,87,20,10
9883,1,1,1
9883,4,2,2
9883,5,3,3
9883,6,4,4
9883,10,6,5
9883,12,7,6
9883,14,8,7
9883,16,9,8
9883,18,10,7
9883,22,11,1
9883,23,12,9
9883,27,13,3
9883,30,14,4
9883,31,15,10
9883,43,29,5
9883,44,16,8
9883,55,17,9
9883,63,18,6
9883,81,19,2
9883,87,20,10
9884,1,1,1
9884,4,2,2
9884,5,3,3
9884,6,4,4
9884,10,6,5
9884,12,7,6
9884,14,8,7
9884,16,9,8
9884,18,10,7
9884,22,11,1
9884,23,12,9
9884,27,13,3
9884,30,14,4
9884,31,15,10
9884,43,29,5
9884,44,16,8
9884,55,17,9
9884,63,18,6
9884,81,19,2
9884,87,20,10
9888,1,1,1
9888,4,2,2
9888,5,3,3
9888,6,4,4
9888,10,6,5
9888,12,7,6
9888,14,8,7
9888,16,9,8
9888,18,10,7
9888,22,11,1
9888,23,12,9
9888,27,13,3
9888,30,14,4
9888,31,15,10
9888,43,29,5
9888,44,16,8
9888,55,17,9
9888,63,18,6
9888,81,19,2
9888,87,20,10
9889,1,1,1
9889,4,2,2
9889,5,3,3
9889,6,4,4
9889,10,6,5
9889,12,7,6
9889,14,8,7
9889,16,9,8
9889,18,10,7
9889,22,11,1
9889,23,12,9
9889,27,13,3
9889,30,14,4
9889,31,15,10
9889,43,29,5
9889,44,16,8
9889,55,17,9
9889,63,18,6
9889,81,19,2
9889,87,20,10
9890,1,1,1
9890,4,2,2
9890,5,3,3
9890,6,4,4
9890,10,6,5
9890,12,7,6
9890,14,8,7
9890,16,9,8
9890,18,10,7
9890,22,11,1
9890,23,12,9
9890,27,13,3
9890,30,14,4
9890,31,15,10
9890,43,29,5
9890,44,16,8
9890,55,17,9
9890,63,18,6
9890,81,19,2
9890,87,20,10
9891,1,1,1
9891,4,2,2
9891,5,3,3
9891,6,4,4
9891,10,6,5
9891,12,7,6
9891,14,8,7
9891,16,9,8
9891,18,10,7
9891,22,11,1
9891,23,12,9
9891,27,13,3
9891,30,14,4
9891,31,15,10
9891,43,29,5
9891,44,16,8
9891,55,17,9
9891,63,18,6
9891,81,19,2
9891,87,20,10
9892,1,1,1
9892,4,2,2
9892,5,3,3
9892,6,4,4
9892,10,6,5
9892,12,7,6
9892,14,8,7
9892,16,9,8
9892,18,10,7
9892,22,11,1
9892,23,12,9
9892,27,13,3
9892,30,14,4
9892,31,15,10
9892,43,29,5
9892,44,16,8
9892,55,17,9
9892,63,18,6
9892,81,19,2
